ID,Description,Rating
701,mist,outdoor
711,smoke,indoor
721,haze,outdoor
731,"sand, dust whirls",indoor
741,fog,outdoor
751,sand,outdoor
761,dust,indoor
762,volcanic ash,indoor
771,squalls,indoor
781,tornado,indoor
