ID,Description,Rating
600,light snow,indoor
601,snow,indoor
602,heavy snow,indoor
611,sleet,indoor
612,shower sleet,indoor
615,light rain and snow,indoor
616,rain and snow,indoor
620,light shower snow,outdoor
621,shower snow,outdoor
622,heavy shower snow,indoor
